smokers_me_2_rate_3_11_7_13, area_code, obese_p_me_2_rate_3_11_7_13, alcohol_cons_2_rate_3_11_7_13
19.91258284024,208031187,27.9369722860155,3.03934695434695
18.1408357207453,213011339,26.4927328116291,2.87990842471371
16.2042138353215,213011340,26.8513670282566,2.71927657445522
18.3390183311306,213021341,26.3364902888793,3.06507084299198
19.8297962247625,213021342,28.3599201861636,3.00700409828951
19.4795610666297,202011025,27.751580469966,2.98501003753567
17.8755770093933,202021026,27.7132136912845,2.98774847593234
14.2842040126891,206051130,16.7340025450019,2.86860985881929
18.979309673664,203011036,26.9715088183829,3.04815240398487
12.6587566910816,206061135,13.9542906267089,2.6027421438948
13.5514274143566,203021046,23.8066212672983,2.64283078459764
23.1554206883045,203021047,31.6222171922212,3.29726800746814
17.0160666698552,203031052,26.7611561221641,2.81341261139304
16.6836443600771,203031053,23.9163091763556,2.83213196209252
23.3286219920568,204011054,27.1058275155075,3.31463624385333
23.3286219920568,204011055,27.1058275155075,3.31463624385333
23.1067657537246,204011056,32.0766178866119,3.25869297143721
22.1375440878818,204011057,27.0360793802793,3.29567811459009
23.3286219920568,204011058,27.1058275155075,3.31463624385333
28.6791827055518,204011059,33.3766482888519,3.57828928049794
19.3747224215988,204011060,31.4950190162483,3.00907802656487
23.3286219920568,204011061,27.1058275155075,3.31463624385333
23.1067657537246,204011062,32.0766178866119,3.25869297143721
24.5987661728197,204021063,31.6414803696189,3.35479974868232
19.2660868220626,204021064,28.7500343599064,3.14565761544638
22.8971310226156,204021065,27.6483998298608,3.29168005644148
24.9147301776746,204021066,32.1688316737827,3.23038473855578
19.2660868220626,204021067,28.7500343599064,3.14565761544638
16.0257452546366,212041313,26.2972714472803,2.76301712274104
21.6152259968474,204031072,30.0712921125295,3.20941613218906
23.4328735003599,204031073,32.7448839766792,3.2272445998859
23.4328735003599,204031074,32.7448839766792,3.2272445998859
17.5502429748194,204031075,24.4501714670562,2.9962413193578
22.7822806477385,205011076,30.8465630987738,3.2414071061654
20.3543398426048,205011077,27.1555787126988,3.06421443300166
20.3543398426048,205011078,27.1555787126988,3.06421443300166
20.3543398426048,205011079,27.1555787126988,3.06421443300166
23.5522556616124,205021080,29.3243806960938,3.28827922856952
25.5402939343556,205021081,31.0273538304645,3.27598697235173
23.5522556616124,205021082,29.3243806960938,3.28827922856952
25.5402939343556,205021083,31.0273538304645,3.27598697235173
25.5402939343556,205021084,31.0273538304645,3.27598697235173
23.5522556616124,205021085,29.3243806960938,3.28827922856952
23.5522556616124,205021086,29.3243806960938,3.28827922856952
22.129364567221,205031087,28.9462385088062,3.23104270268235
null,205031088,null,null
22.129364567221,205031089,28.9462385088062,3.23104270268235
22.129364567221,205031090,28.9462385088062,3.23104270268235
22.8447120861905,205031091,25.8524831200306,3.17943574222808
22.129364567221,205031092,28.9462385088062,3.23104270268235
23.6744631015021,205031093,31.3587647547404,3.28713279140994
21.5781535984214,205041094,29.8409421559267,3.12376663527559
30.1525817773309,205041095,32.7923982658144,3.48605043163719
30.1525817773309,205041096,32.7923982658144,3.48605043163719
22.1409650675504,205041097,30.0686669883418,3.29609668820309
22.1409650675504,205041098,30.0686669883418,3.29609668820309
22.0859722753872,205051099,30.0620677240708,3.1995399127648
24.6783777005005,205051100,30.8260685313012,3.40917042940752
22.0859722753872,205051101,30.0620677240708,3.1995399127648
22.0859722753872,205051102,30.0620677240708,3.1995399127648
22.1909902419229,205051103,32.8390367511489,3.13470992423011
24.6783777005005,205051104,30.8260685313012,3.40917042940752
14.1166791037858,206011105,18.5697782185121,3.04672890047972
14.1166791037858,206011106,18.5697782185121,3.04672890047972
15.2401540494061,206031115,17.4030453938357,2.96161260774689
13.694254324131,206041118,12.2466391322589,3.03408309757833
13.335916654272,206041119,13.8654374886695,2.90224334088256
13.8847787207032,206041120,15.8433062567893,2.92449360027764
24.3101772956364,215011394,31.5637219236684,3.53663575541676
21.9562965137669,215021395,28.6441096622253,3.32461476651392
25.4490168902174,215021396,31.1154475835367,3.41740532905827
17.9057109834289,213031351,24.8750999480491,3.09383113744717
22.6010871115843,213041358,33.2421930750273,3.20084072811356
26.1059477712999,213041359,34.0007351114881,3.40232317001992
13.335916654272,206041125,13.8654374886695,2.90224334088256
14.8056633405175,206061136,15.7117965106069,2.98502570273685
16.6093589778307,213041360,27.2384099517847,2.73648260539854
16.6084034012131,206071141,15.4216624481629,3.33676080512425
16.6084034012131,206071142,15.4216624481629,3.33676080512425
19.7373856950556,214011374,27.9336840727661,2.99796160863001
25.8493394125051,215011392,30.8763055517002,3.59636760816536
24.3101772956364,215011393,31.5637219236684,3.53663575541676
25.8374864784105,215021397,29.464945030153,3.26788733479012
21.9562965137669,215021398,28.6441096622253,3.32461476651392
26.5682662997466,215021399,31.406229727488,3.67197340797517
25.3854753456266,215031400,28.8038129976709,3.50814819767127
16.7652059013177,201011001,27.2960275951921,2.86605888297098
25.3854753456266,215031401,28.8038129976709,3.50814819767127
25.3854753456266,215031402,28.8038129976709,3.50814819767127
28.533834745269,215031403,30.2122428866511,3.55733456182455
17.4500213403591,201011002,26.7942263030047,2.8458957636563
27.164928046194,201011008,35.3333009861441,3.39600839442719
20.5294028681813,201021009,28.4812849328159,3.32871689659288
23.6095862927779,201021010,29.9156832022442,3.31392528888427
20.657067032229,201011003,28.8026117319449,3.1944031838704
22.114721169435,201021011,23.5803662373535,3.07583179634452
20.5294028681813,201021012,28.4812849328159,3.32871689659288
25.8284226507689,201031013,29.2812670751438,3.45126283813082
25.8284226507689,201031014,29.2812670751438,3.45126283813082
22.8368928780612,201031015,26.8677942057153,3.32848305715379
